fips,votes,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Unemployment_rate,POP_ESTIMATE,Amish,Buddhist,Catholic,Christian Generic,Eastern Orthodox,Hindu,Jewish,Mainline Christian,Mormon,Muslim,Non-Catholic Christian,Other,Other Christian,Other Misc,Pentecostal / Charismatic,Protestant Denomination,Zoroastrian,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,Deep_Pov_All,Deep_Pov_Children,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,age_total_pop,0-4_rate,5-9_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,TOT_MALE_rate,TOT_FEMALE_rate,WHITE_MALE_rate,WHITE_FEMALE_rate,BLACK_MALE_rate,BLACK_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_FEMALE_rate,ASIAN_MALE_rate,ASIAN_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_FEMALE_rate,MULTI_MALE_rate,MULTI_FEMALE_rate,WHITE_rate,BLACK_rate,NATIVE_AMERICAN_rate,HAWAIIAN_PACIFIC_rate,MULTI_rate,voter_turnout_rate,Democrat
22067,12478,19.728,44.249,22.367,13.656,14.4,26309,0,0,28,563,0,0,0,93,11,0,397,11,0,17,53,0,0,32269,18222,44.5,28.7,11.57088715,21.11145607,27979,12423,806.08,11.15,794.93,35.2,15.6,26395,0.0696344,0.067702216,0.067702216,0.060503883,0.061185831,0.064406138,0.058912673,0.056601629,0.054972533,0.060087138,0.065125971,0.071149839,0.070430006,0.056146998,0.040159121,0.029892025,0.023299867,0.023261981,0.481038075,0.518961925,0.243606744,0.257283576,0.226823262,0.252017428,0.001212351,0.000757719,0.0021595,0.002841447,0.000303088,0.000492518,0.006933131,0.005569237,0.472532971,0.451731656,0.001858537,0.000750563,0.01179456,0.474286366,0
22069,17018,16.519,32.936,31.798,18.747,9.2,39003,0,0,232,367,0,0,0,62,9,0,242,10,0,33,25,4,0,32094,19178,37.4,31.9,17.8875372,22.66100957,39566,18587,1298.99,46.74,1252.25,31.6,14.8,39179,0.066387606,0.0625335,0.0625335,0.088593379,0.118073458,0.059955588,0.056024911,0.051787948,0.049490799,0.053166237,0.055922816,0.057735011,0.057377677,0.051430613,0.038898389,0.027948646,0.019245004,0.018479287,0.477602797,0.522397203,0.266750045,0.280201128,0.19260318,0.223818883,0.004517726,0.005436586,0.003471247,0.002348197,0.000153143,0.000280763,0.010107456,0.010311647,0.541601375,0.412348987,0.009856948,0.000429662,0.02021938,0.436325411,0
22071,154166,14.332,22.939,26.552,36.177,8.6,390711,0,7,620,211,2,4,10,59,6,5,104,34,1,29,5,11,0,38418,28444,36,24.1,13.32027239,23.37885271,343829,189896,350.21,180.79,169.42,2029.4,1120.8,389617,0.061034298,0.058585739,0.058585739,0.055421093,0.073010161,0.097151818,0.089690645,0.069098628,0.059761253,0.060351576,0.065954514,0.069224392,0.062825801,0.046902471,0.028810345,0.019783531,0.013918797,0.015471604,0.476514115,0.523485885,0.180446438,0.174168478,0.27134083,0.323212283,0.001855669,0.00159644,0.015415138,0.015784732,0.000426059,0.000354194,0.007029981,0.008369758,0.401839286,0.673730255,0.003911828,0.00088416,0.017450535,0.39457809,1
22073,67556,14.97,33.46,27.388,24.182,8.3,156911,0,0,132,547,0,0,1,102,8,2,358,13,2,31,51,2,0,38525,21866,37.5,24.5,10.97705803,19.02551616,153720,64481,631.75,21.34,610.41,251.8,105.6,156761,0.070629812,0.070540504,0.070540504,0.071631337,0.075184517,0.07382576,0.065953904,0.064244295,0.05814584,0.059587525,0.06339587,0.064314466,0.05644261,0.045017575,0.032865317,0.024164173,0.01819968,0.016458175,0.479258234,0.520741766,0.29101626,0.30840579,0.175011642,0.199322536,0.001639438,0.001633059,0.004835386,0.004931073,0.000261545,0.000153099,0.006493962,0.006296209,0.61128025,0.381739526,0.003337237,0.000422847,0.013043195,0.430537056,0
22075,10066,19.551,38.038,26.602,15.809,6.3,23450,0,0,762,185,0,0,0,24,0,0,120,0,0,36,4,0,0,55950,25359,20,15.4,7.334595199,9.18762089,23042,9596,2567.2,1787.29,779.91,29.5,12.3,23495,0.070483082,0.075973611,0.075973611,0.065843797,0.065971483,0.065503299,0.065971483,0.06439668,0.06609917,0.067759098,0.071462013,0.06533305,0.05605448,0.041966376,0.031496063,0.021621622,0.0147691,0.015364971,0.502575016,0.497424984,0.353819962,0.351904661,0.104234944,0.10227708,0.009236008,0.008427325,0.020940626,0.01932326,0.001276867,0.000680996,0.01306661,0.014811662,0.719598993,0.210571999,0.018010589,0.001996354,0.028426352,0.429253731,0
22077,11984,20.025,41.205,24.834,13.936,9.1,22204,0,0,947,118,0,0,0,27,0,0,90,0,0,0,0,0,0,42545,25670,29.7,19.7,7.813418993,11.58815345,22802,11130,590.71,33.37,557.35,40.9,20,22251,0.060581547,0.059323176,0.059323176,0.062963462,0.059188351,0.056851377,0.05667161,0.055188531,0.051053885,0.061345558,0.076760595,0.07662577,0.07240124,0.064131949,0.044986742,0.032088445,0.024358456,0.02121253,0.481596333,0.518403667,0.30753674,0.316659925,0.165161116,0.192081255,0.001168487,0.001078603,0.00175273,0.001842614,0,0,0.005977259,0.00674127,0.609113236,0.348609771,0.00219279,0,0.012411192,0.539722573,0
22079,57227,15.25,37.549,27.348,19.853,7.7,131993,0,0,321,533,0,0,2,61,7,2,383,13,1,70,10,6,0,42452,22904,27.8,19.9,8.033951529,11.9956147,131613,55684,1361.66,43.7,1317.96,99.9,42.3,132141,0.067904738,0.06919881,0.06919881,0.067738249,0.066285256,0.064870101,0.065997684,0.060828963,0.057582431,0.059981384,0.069751251,0.06799555,0.059935977,0.049863403,0.037407012,0.028060935,0.019138647,0.018268365,0.482961382,0.517038618,0.310600041,0.327377574,0.151898351,0.168274797,0.004328709,0.004563307,0.007242264,0.007787136,0.000287572,0.000166489,0.008604445,0.008869314,0.640537029,0.321457607,0.00892769,0.000455882,0.01754386,0.433560871,0
22081,4736,19.317,44.963,22.178,13.543,7.7,8715,0,0,41,361,0,0,0,38,22,0,212,22,0,37,59,14,0,33044,23748,35.9,26.3,9.591121495,13.56832448,9091,4128,402.34,13.25,389.09,23.4,10.6,8593,0.069126033,0.068544164,0.068544164,0.060630746,0.062027231,0.057488654,0.057954149,0.053066449,0.05737228,0.063307343,0.071337135,0.0794833,0.063074596,0.055161178,0.044687536,0.030955429,0.020016292,0.017921564,0.485511463,0.514488537,0.293494705,0.29640405,0.184568835,0.208425463,0.001978354,0.003142092,0.00093099,0.001629233,0.000116374,0.000116374,0.004422204,0.004771325,0.557584424,0.371466285,0.004839952,0.000219998,0.008689913,0.543430866,0
22083,11390,20.525,41.196,24.53,13.749,10.9,20550,0,0,31,595,0,0,0,110,0,0,433,0,0,9,42,0,0,33820,19347,38.2,27.2,8.756249053,11.86307299,20725,8621,564.52,5.47,559.04,37.1,15.4,20523,0.070262632,0.067095454,0.067095454,0.066851825,0.063489743,0.065243873,0.063002485,0.064756615,0.056911758,0.056473225,0.066803099,0.074063246,0.062369049,0.053013692,0.038249769,0.028991863,0.01958778,0.017687473,0.484188471,0.515811529,0.305608342,0.321151878,0.169614579,0.185645373,0.002485017,0.001851581,0.000974516,0.002143936,0.000146177,0.000243629,0.00535984,0.00477513,0.620651387,0.351797346,0.004294331,0.000386007,0.010036188,0.554257908,0
22085,9929,17.533,42.997,25.616,13.854,7.1,24229,0,0,410,597,0,0,0,78,14,0,478,14,0,32,8,0,0,42700,22725,26.8,18.5,8.038992278,13.85625432,24233,14130,1011.62,144.96,866.66,28,16.3,24186,0.06586455,0.069544365,0.069544365,0.061109733,0.057305879,0.058380882,0.059290499,0.054287604,0.05312991,0.06015877,0.07157033,0.065781857,0.067353014,0.063259737,0.050401058,0.032870256,0.022492351,0.020342347,0.495410568,0.504589432,0.348383362,0.351773753,0.082279004,0.088646324,0.043372199,0.043744315,0.001695196,0.001777888,0.00033077,0.000165385,0.019350037,0.018481766,0.698799158,0.170593818,0.086947551,0.000495193,0.037758429,0.409798176,0
